rosbagTimestamp,secs,nsecs,lwrist.x,lwrist.y,lwrist.z,rwrist.x,rwrist.y,rwrist.z,neck.x,neck.y,neck.z,wDist,wNDist,x,y,z,x.1,y.1,z.1,Label
1569267652.56279,1569267652,562788926,1.190999985,-0.245607957,-0.146960571,1.40199995,0.179137751,-0.109354109,1.200000048,-0.066524059,0.130128905,0.475756395310226,0.398127868021079,-0.262796574111,-2.21233501596,-1.98284143267,0.55953765,10.00296255,7.01876175,8
1569267652.73055,1569267652,730553462,1.200000048,-0.113218226,-0.161689296,1.368000031,0.214716986,-0.106702149,1.217000008,-0.028003436,0.131972402,0.372544069732273,0.372397303288988,-0.295957829899,-0.151101169347,0.0749017554386,1.2761385,9.1096656,3.09218175,9
1569267652.91379,1569267652,913788312,1.174999952,-0.044182517,-0.181179851,1.328999996,0.266773671,-0.110123977,1.246000052,0.044055425,0.135117188,0.354201498637989,0.341519599460817,-2.51601663844,1.27134217103,0.797468065767,0.32394285,5.4579462,6.05674965,9
1569267653.06595,1569267653,65950056,1.18599999,0.001553254,-0.179030493,1.296000004,0.283263117,-0.117894977,1.243999958,0.10449256,0.134900302,0.308541733494944,0.313955999972576,2.9765345176,0.950201588665,0.546140653479,-2.2774164,8.3636154,8.03967255,3
1569267653.23127,1569267653,231272928,1.212000012,0.021237765,-0.175095648,1.296000004,0.306376725,-0.119996071,1.233999968,0.139665455,0.127814174,0.302318025515285,0.305035357845569,-1.12673455385,-0.501912348999,-0.357939899057,-1.2172398,9.6397539,1.5902649,1
1569267653.40217,1569267653,402172766,1.222000003,0.019431734,-0.198332652,1.289999962,0.30077529,-0.11734917,1.207000017,0.138566509,0.12110398,0.300560335512807,0.300100956760273,0.960679231541,0.260796534125,-2.11548645582,-4.01492805,14.02770705,1.63934715,7
1569267653.57302,1569267653,573016499,1.233999968,0.033627558,-0.180274516,1.284999967,0.272525251,-0.100228265,1.166000009,0.120626353,0.122661255,0.257061296032439,0.294811810047438,-0.830028581011,0.232871266093,0.317502521467,-2.89585275,10.405437,1.18779045,1
1569267653.73598,1569267653,735979067,1.223999977,0.021448039,-0.180797994,1.284999967,0.260024846,-0.116894327,1.133999944,0.098930031,0.115617998,0.254408274775728,0.320647045273756,-0.0934996366668,-0.208697034663,-0.551671446029,-2.50319475,5.36959815,-0.4122909,9
1569267653.90534,1569267653,905338455,1.212000012,0.025167856,-0.179025456,1.289999962,0.238030002,-0.07970462,1.100000024,0.088830039,0.11036817,0.247505381483851,0.307389445000295,-0.0271771250908,0.0426303776251,-0.0350539874374,-2.5915428,10.29745605,-0.89329695,1
1569267654.07525,1569267654,75245106,1.202999949,0.021080058,-0.181596696,1.292999983,0.226005331,-0.075697526,1.10800004,0.080493934,0.105781935,0.247606558557754,0.297209253442327,-0.283740525135,-0.0184561461949,-0.0891591942494,-3.6909852,8.834805,-0.61843635,1
1569267654.23847,1569267654,238470777,1.19599998,0.024835607,-0.178601056,1.289999962,0.223389447,-0.075521894,1.126000047,0.079975992,0.107500412,0.242662188305818,0.284535684385284,-0.0463757468628,0.0304130728611,-0.129301767045,-3.91676355,9.37470975,-0.0588987,1
1569267654.40522,1569267654,405216748,1.197999954,0.020992443,-0.180841938,1.281999946,0.222004086,-0.075053535,1.128000021,0.080118045,0.102205172,0.242183536779133,0.27435064194926,0.115939873573,-0.0568533897389,-0.0891591942494,-4.1032761,8.88388725,-0.0588987,1
1569267654.57759,1569267654,577589620,1.192999959,0.020904828,-0.182021275,1.287999988,0.218866572,-0.0754048,1.111999989,0.077178702,0.100755453,0.244092053002444,0.286502856687609,-0.0254317958388,-0.0743066822589,-0.0490166214534,-4.319238,9.08021625,-0.65770215,1
1569267654.74151,1569267654,741512304,1.18900001,0.020834737,-0.181410968,1.27699995,0.21699737,-0.074760817,1.095999956,0.072514273,0.10285943,0.239995880660104,0.29186523481061,0.0321640694772,-0.0202014754469,-0.0141100364134,-3.8873142,9.0900327,0.40247445,1
1569267654.912,1569267654,911995703,1.184000015,0.020747123,-0.182567611,1.281999946,0.222004086,-0.072975144,1.09800005,0.072646596,0.103047132,0.249236555214387,0.295207491766945,0.0565986790052,-0.0777973407629,-0.106612486769,-4.25052285,8.74645695,0.59880345,1
1569267655.07816,1569267655,78157022,1.18599999,0.020782169,-0.180953249,1.279999971,0.221657738,-0.072861299,1.07099998,0.074333087,0.10051319,0.246720206517173,0.308940548433324,0.0548533497532,-0.0254374632029,-0.0245820119254,-4.1621748,8.98205175,0.46137315,1
1569267655.23715,1569267655,237151001,1.190999985,0.020869782,-0.179785267,1.284999967,0.226690397,-0.066896141,1.083999991,0.071720324,0.101733238,0.25286770640796,0.304717215364593,-0.00448784481477,-0.0271827924549,-0.0664699139734,-4.2603393,8.6581089,-0.2355948,1
1569267655.40464,1569267655,404636294,1.205000043,0.019161407,-0.181898609,1.281999946,0.226161152,-0.066739962,1.069000006,0.070727885,0.100325488,0.249077083391759,0.312152750290622,-0.191238074779,-0.0830333285189,-0.0525072799574,-4.05419385,8.11820415,1.0798095,1
1569267655.57167,1569267655,571673861,1.19599998,0.020957397,-0.176662087,1.281999946,0.224082619,-0.066739962,1.07099998,0.070860207,0.10051319,0.246452274343464,0.309793011614262,-0.0934996366668,-0.0533627312349,-0.221804217401,-4.711896,8.84462145,0.20614545,1
1569267655.73566,1569267655,735663079,1.190999985,0.020869782,-0.175923526,1.271999955,0.216147721,-0.072405919,1.06400001,0.073847249,0.096406296,0.235394060161031,0.303333093124756,0.0827786177852,0.0216864266011,-0.000147402397418,-4.23088995,9.19801365,0.8834805,1
1569267655.91089,1569267655,910887933,1.190999985,0.020869782,-0.175923526,1.26699996,0.215298086,-0.07417538,1.059999943,0.070132419,0.099480838,0.232230589739497,0.306722284752215,0.0565986790052,0.000742475577068,-0.0926498527534,-4.5548328,8.62865955,0.04908225,1
1569267656.06491,1569267656,64910036,1.184000015,0.020747123,-0.178728595,1.264000058,0.214788303,-0.080147386,1.046000004,0.069206141,0.098166943,0.231884111537845,0.317039728367467,0.143865141605,0.105462230697,0.430948922847,-4.3977696,5.3597817,0.18651255,9
1569267656.23301,1569267656,233010190,1.184000015,0.020747123,-0.182567611,1.269000053,0.211523026,-0.096922964,1.046000004,0.067510232,0.098166943,0.225733154820513,0.329437063037779,-0.0812823319028,-0.00623884143093,1.95287603059,1.8847584,19.60345065,-1.01109435,7
1569267656.40194,1569267656,401938823,1.18599999,0.018859277,-0.182876006,1.287999988,0.218866572,-0.13804844,1.046000004,0.067510232,0.094775364,0.228946343754823,0.368347197116017,0.522601589289,0.138623486485,-0.288126728977,-2.3952138,8.56976085,1.3939359,1
1569267656.57612,1569267656,576116509,1.179999948,0.016850704,-0.18768993,1.292999983,0.223908946,-0.119718298,1.04400003,0.072459139,0.094594151,0.245483739271821,0.361756612145123,0.129902507589,-0.226150327183,-0.129301767045,-2.8860363,10.17965865,-0.93256275,1
1569267656.73449,1569267656,734494015,1.184000015,0.018827474,-0.190245673,1.289999962,0.223389447,-0.081795983,1.046000004,0.072597951,0.094775364,0.254642739583817,0.336825615640073,0.182262385149,-0.0184561461949,-0.172934998345,-3.40630815,9.4826907,0.7460502,1
1569267656.90575,1569267656,905752363,1.182000041,0.013046452,-0.184175506,1.284999967,0.222523585,-0.075229168,1.046000004,0.067510232,0.098166943,0.25760232640548,0.333491129165722,-0.126660892455,0.0251770851051,0.0312685241386,-3.6124536,9.45324135,-0.392658,1
1569267657.06368,1569267657,63677484,1.190999985,0.017007787,-0.185577855,1.284999967,0.218356788,-0.075229168,1.046000004,0.062422518,0.099862732,0.248101288876786,0.334803901291553,-0.0167051495788,0.0269224143571,-0.0507619507054,-3.4750233,9.84589935,-0.3533922,1
1569267657.22779,1569267657,227790022,1.192999959,0.018970588,-0.185889482,1.284999967,0.218356788,-0.075229168,1.042000055,0.062183809,0.099480845,0.245895431671714,0.337583390059704,0.159573104873,0.0286677436091,-0.0315633289334,-3.40630815,9.8360829,-0.6675186,1
1569267657.38297,1569267657,382973707,1.18900001,0.016979227,-0.185266212,1.281999946,0.217847005,-0.075053535,1.04400003,0.058917835,0.099671789,0.247272494439167,0.335307888275538,-0.0114691618228,0.0461210361291,-0.0577432677134,-2.8467705,9.21764655,-1.18779045,1
