rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1569261695960075253,,61699,,1569261695,915632963,"""knife_link""",,0.443907816675,0.601355313268,0.473750201702,0.465702033371,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.209405653278,-0.0521732153517,-0.116255050867,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.50063895,7.4016033,1.12889175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696023108432,,61700,,1569261695,958066940,"""knife_link""",,0.44220768655,0.600383971055,0.477302170836,0.464945251585,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.150132172634,0.157266294888,0.0617685328367,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.83439825,5.40886395,-2.1792519,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696065866969,,61701,,1569261696,21821022,"""knife_link""",,0.475476170577,0.588940639421,0.487368899893,0.435365237321,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.532291564898,0.0630185152803,1.37251080109,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.9829229,14.14550445,-0.63806925,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696109577311,,61702,,1569261696,63882112,"""knife_link""",,0.476691126295,0.586262707919,0.491152101879,0.43339499332,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.115225587594,0.0996704295723,0.194413555989,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.5693541,8.2850838,-1.95347355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696171587724,,61703,,1569261696,106761932,"""knife_link""",,0.483369933346,0.571660913533,0.50341838106,0.431424664439,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.492216706026,-0.0783531541317,0.794806818677,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.9253021,13.36018845,1.2761385,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696216963499,,61704,,1569261696,170167922,"""knife_link""",,0.476055321443,0.573488687851,0.505107865365,0.435141471453,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.160604148146,0.129341026856,-0.198285525711,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.44174025,7.8138942,-1.6884294,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696255894206,,61705,,1569261696,214845895,"""knife_link""",,0.489034543766,0.569983301517,0.512688472316,0.416070644662,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.38568390773,0.335289878592,0.981557048641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.7080623,12.65340405,-0.75586665,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696319531093,,61706,,1569261696,254720926,"""knife_link""",,0.485131274871,0.570717545789,0.512819550909,0.41945826643,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.0995176243262,0.0752358200443,-0.184322891695,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.2565056,10.0716777,0.71660085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696362612381,,61707,,1569261696,318536043,"""knife_link""",,0.485448649939,0.573627091011,0.506743170349,0.422496068664,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.13261116619,-0.0818438126357,-0.158142952915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.83439825,8.5795773,0.18651255,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569261696406066908,,61708,,1569261696,361354112,"""knife_link""",,0.483391326712,0.575906061701,0.49919727805,0.430658926465,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0697793131178,-0.252886079332,-0.447867608747,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.38284155,9.35507685,0.34357575,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
