rosbagTimestamp,secs,nsecs,lwrist.x,lwrist.y,lwrist.z,rwrist.x,rwrist.y,rwrist.z,neck.x,neck.y,neck.z,wDist,wNDist,x,y,z,x.1,y.1,z.1,Label
1569261684.46372,1569261684,463715402,1.174999952,-0.03656229,-0.154510915,1.190999985,0.260313541,-0.135375395,1.184000015,0.132086754,0.168703675,0.297921849171242,0.330083609554321,-2.7426167363,-0.743518220195,1.45676596317,1.4528346,9.8753487,6.25307865,3
1569261684.62853,1569261684,628529741,1.167999983,-0.047706719,-0.147909701,1.182000041,0.304340184,-0.130519867,1.19599998,0.168329358,0.170413509,0.352754064274875,0.330538711608736,-3.85439146983,-0.591674575271,0.0849371710969,1.3939359,4.58428215,7.5782994,1
1569261684.79542,1569261684,795417383,1.149000049,0.023859626,-0.106385402,1.144999981,0.326372564,-0.117152773,1.177000046,0.200004622,0.171522602,0.302730927524176,0.31674332361821,1.29432982357,0.176270295609,0.250743450037,0.61843635,3.4946562,9.1489314,1
1569261684.96706,1569261684,967060729,1.136000037,0.104629986,-0.119915314,1.138000011,0.335447669,-0.121971376,1.174999952,0.237765908,0.169326231,0.230835504358487,0.309459234649721,0.606670098285,0.794116850817,1.33982890328,1.48228395,3.0627324,8.49122925,3
1569261685.12703,1569261685,127028654,1.139999986,0.121633194,-0.125882104,1.159999967,0.377666593,-0.129971161,1.179999948,0.263648808,0.170046762,0.256845909117982,0.321575510040085,0.489733038401,-0.0785477751828,-0.101813058867,1.9436571,1.2368727,9.227463,1
1569261685.30456,1569261685,304556810,1.078999996,0.101129472,-0.152382776,1.139999986,0.445087522,-0.125882104,1.177000046,0.285878092,0.167706281,0.350329023285617,0.336022003517384,-0.115896212043,-0.303695248691,-0.0162919255191,1.570632,3.2394285,8.1083877,1
1569261685.46127,1569261685,461265271,1.003000021,0.120025381,-0.183927581,1.133999944,0.464807957,-0.125219569,1.174999952,0.312063128,0.167421296,0.373473740994188,0.332641938591915,-0.321845063779,0.411889744629,0.191402255469,2.1203532,3.26887785,8.68755825,1
1569261685.62364,1569261685,623643198,1.00999999,0.119225509,-0.178661525,1.151000023,0.468043685,-0.12896277,1.138000011,0.318842053,0.163994253,0.379506383954892,0.329019672099536,-0.107169565783,0.109947784033,-0.229222094263,3.24924495,3.48483975,9.9931461,1
1569261685.77251,1569261685,772505508,1.034999967,0.033238851,-0.161270425,1.172999978,0.476989776,-0.139034465,1.136000037,0.32380718,0.16186434,0.465245445320507,0.339667475925692,0.159865809773,-0.504408112671,-0.162899582687,1.56081555,3.533922,8.90352015,1
1569261685.93243,1569261685,932431845,1.018000007,-0.046531525,-0.163572729,1.157999992,0.457747728,-0.146643355,1.129999995,0.312936455,0.161009416,0.523625977688531,0.341181084065132,0.196517724065,-0.0401505316388,-0.129738326899,1.0994424,3.36704235,8.45196345,5
1569261686.09425,1569261686,94250835,0.986000001,-0.011497689,-0.177613124,1.123999953,0.440663069,-0.142337754,1.129999995,0.309272259,0.161009416,0.474065068904864,0.33063431613108,0.0708540179212,0.305424660257,-0.0145465962671,2.28723285,2.944935,9.423792,1
1569261686.26144,1569261686,261434922,0.981000006,0.001284774,-0.175122038,1.126000047,0.441447169,-0.140765548,1.129999995,0.309272259,0.161009416,0.46470239322308,0.329475849364885,0.271566881901,-0.286241956171,-0.0791237785911,1.9829229,4.319238,8.0887548,1
1569261686.4297,1569261686,429696305,1.003000021,0.015949287,-0.177423269,1.152999997,0.452032477,-0.146010175,1.133999944,0.314044178,0.16157937,0.462228648912234,0.337658260476807,1.37461496917,0.118674430293,-0.475313518795,2.67989085,4.03456095,8.09857125,1
1569261686.60423,1569261686,604231146,1.116000056,0.017746165,-0.141324684,1.146999955,0.449680179,-0.143390834,1.133999944,0.314044178,0.16157937,0.433049945345782,0.334025373858145,1.19659138546,-0.0802931044348,-0.756311528367,2.62099215,5.99785095,9.4826907,1
1569261686.75519,1569261686,755187346,1.202999949,-0.021829931,-0.14064002,1.151000023,0.447516084,-0.1457569,1.151000023,0.298224479,0.164001629,0.472245546894113,0.343858007921467,0.899885412621,-0.380489735779,-0.939571099827,0.5693541,6.2432622,6.37087605,5
1569261686.91515,1569261686,915145773,1.200000048,-0.021775492,-0.15779838,1.144999981,0.396916419,-0.14499709,1.171000004,0.280623645,0.166851357,0.422482895195179,0.333840477439341,1.03602109428,-0.397943028299,-0.300780593595,0.91292985,9.25691235,2.7682389,1
1569261687.06891,1569261687,68912006,1.212000012,-0.021993246,-0.153481632,1.179999948,0.340175331,-0.132212043,1.149000049,0.232504696,0.163716659,0.364201150023497,0.316429701587443,0.816109608525,-0.136143640499,-0.529418725607,-3.17071335,10.5428673,1.52154975,1
1569261687.23734,1569261687,237344880,1.202999949,-0.047185831,-0.152341917,1.184000015,0.247265682,-0.132660225,1.152999997,0.180971265,0.160548091,0.295719563099867,0.302203685306659,0.878941461597,0.113438442537,-0.395028373203,-1.570632,10.55268375,-0.7656831,4
1569261687.39874,1569261687,398736861,1.18900001,-0.062058747,-0.173700497,1.174999952,0.197759703,-0.129746899,1.133999944,0.137540266,0.154225543,0.263881691978719,0.293168431220076,0.0376927621332,0.109947784033,-0.239694069775,-0.785316,8.92315305,0.73623375,4
1569261687.56361,1569261687,563609199,1.18900001,-0.071697526,-0.179483354,1.18900001,0.186621711,-0.113944225,1.105999947,0.110832796,0.154003635,0.266503669082324,0.2905667320487,-0.0181577739308,-0.0558584949068,-0.0319998887871,-1.9436571,9.227463,0.97182855,4
