rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1569268971969439359,,43758,,1569268971,912986993,"""knife_link""",,-0.625928270706,-0.0440460497724,0.111080593109,-0.770671685781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.114270485581,0.0409451045479,-0.00868545031379,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.01492805,9.9538803,1.54118265,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972006866495,,43759,,1569268971,968750953,"""knife_link""",,-0.630134057262,-0.0471780265165,0.111731848794,-0.766955864218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.191064972669,0.0234918120279,-0.104678559174,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.4148467,9.2470959,1.28595495,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972063609519,,43760,,1569268972,6232023,"""knife_link""",,-0.638167408174,-0.0471951794404,0.10985002271,-0.760557655075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.533149506061,0.0147651657679,0.0349477809862,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.9043913,8.9722353,0.63806925,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972119411775,,43761,,1569268972,62798023,"""knife_link""",,-0.642408889476,-0.047301651264,0.106242366712,-0.757486588677,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.171866350897,0.0304731290359,0.0855623292942,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.48356185,9.29617815,0.5104554,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972157396613,,43762,,1569268972,118784904,"""knife_link""",,-0.643465530416,-0.0471687992325,0.102122877632,-0.757164535229,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0217680352248,0.0200011535239,0.109996938822,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.4148467,9.5808552,0.38284155,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972213583758,,43763,,1569268972,156680107,"""knife_link""",,-0.646376272163,-0.0461191726676,0.100079701194,-0.755019728289,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.185828984913,-0.0567933335641,0.106506280318,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.38539735,9.6593868,0.65770215,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972269423533,,43764,,1569268972,212840080,"""knife_link""",,-0.645777484684,-0.0483582605762,0.0954637538622,-0.755989147149,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.0585171103672,0.0845783358479,0.0698543660262,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.32649865,9.5415894,0.4908225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972307099986,,43765,,1569268972,268678903,"""knife_link""",,-0.649417359476,-0.0471175447646,0.0934155932823,-0.753200210514,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.145686412117,-0.0445760288001,0.0768356830342,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.2970493,9.6004881,-0.2748606,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972363339478,,43766,,1569268972,306384086,"""knife_link""",,-0.64911447933,-0.0457466867532,0.0917460132028,-0.753750822511,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.0288465130832,-0.103917223368,0.115232926578,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.28723285,9.06058335,0.7264173,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972419385720,,43767,,1569268972,362571954,"""knife_link""",,-0.646036329445,-0.0437486942712,0.0879572044003,-0.756958811945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.158000877731,-0.0515573458081,0.153630170122,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.2577835,9.0115011,0.7460502,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972457032606,,43768,,1569268972,418920993,"""knife_link""",,-0.631479215847,-0.0411546442365,0.0785426694305,-0.770306006915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.719996896875,0.0112745072639,0.331653753826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.1399861,9.0703998,0.4122909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972513923537,,43769,,1569268972,456540107,"""knife_link""",,-0.606396897911,-0.0413430644356,0.0677448246086,-0.791191627841,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.75846780182,0.135192884156,0.467789435482,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.01237225,8.88388725,1.8062268,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972569747213,,43770,,1569268972,513010978,"""knife_link""",,-0.55936124295,-0.0460473846108,0.0472952175518,-0.826291595415,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.11276963997,0.377793650184,0.478261410994,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.42466315,11.8190058,2.73878955,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972606853849,,43771,,1569268972,568916082,"""knife_link""",,-0.581183744564,-0.0637157578985,0.0443737435001,-0.810059706527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.931084575517,0.620394416212,-0.265248850358,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.9436571,10.6213989,2.75842245,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972663636117,,43772,,1569268972,606168985,"""knife_link""",,-0.613089629656,-0.0823054499817,0.0260453772063,-0.785282469713,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.06031260156,1.51749365174,0.260095254494,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.0443774,6.6162873,0.67733505,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972720306766,,43773,,1569268972,662909984,"""knife_link""",,-0.618141679943,-0.098716909123,-0.00346831827697,-0.779835755874,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.157903716881,1.089887985,0.469534764734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.67861295,9.8753487,2.05163805,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972757188502,,43774,,1569268972,719415903,"""knife_link""",,-0.633624455901,-0.106183976659,-0.016639504839,-0.76613845933,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.700701114253,0.524401307352,0.22169801095,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.26504415,9.227463,2.4933783,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972813960841,,43775,,1569268972,756504058,"""knife_link""",,-0.648687678834,-0.108817952413,-0.0221229339981,-0.752910037357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.0951455252,0.328924431128,0.240896632722,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.7473281,9.4826907,2.9842008,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972869709105,,43776,,1569268972,813143014,"""knife_link""",,-0.645222225393,-0.127393008038,-0.0334422715395,-0.752556254267,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.109131658675,0.730350159088,-0.141330473466,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.08962595,13.2914733,-1.1583411,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972907153053,,43777,,1569268972,869081020,"""knife_link""",,-0.662503295521,-0.147427936315,-0.00590661488701,-0.734383754531,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.03929498914,-0.0602839920681,-1.10649754982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.5902649,11.7993729,0.981645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268972963616995,,43778,,1569268972,906501054,"""knife_link""",,-0.680739323778,-0.123328800023,0.0230304645519,-0.721701862163,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.50529789942,-1.89811569442,-0.0488280231098,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.97694015,8.05930545,4.7511618,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569268973019819128,,43779,,1569268972,962538957,"""knife_link""",,-0.662852071455,-0.107977684126,0.0183036577314,-0.740697594982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.908492456091,-0.418076488728,0.44859081371,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-3.03328305,9.9146145,1.85530905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
