rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1569267652442519477,,17390,,1569267652,404803991,"""knife_link""",,-0.6205137085,-0.247270295995,-0.515957122888,-0.536291325329,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-3.39042659369,-0.400683252383,0.478072812651,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,5.8113384,11.0533227,1.97310645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652499296299,,17391,,1569267652,441832065,"""knife_link""",,-0.596235045395,-0.208070480349,-0.503958901129,-0.589267232945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-3.32235875287,-1.40424757228,-0.796017541309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,3.32777655,9.4630578,3.19034625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652555202632,,17392,,1569267652,498423099,"""knife_link""",,-0.622374615915,-0.168766836918,-0.445363836119,-0.621143015495,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.346572378207,-2.65215798746,-0.734931017489,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.75842245,9.1881972,2.159619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652593268461,,17393,,1569267652,554210901,"""knife_link""",,-0.629638827032,-0.115634882299,-0.37491876043,-0.670536683983,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.2995221498,-3.08849030046,-1.05781692911,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.24541125,9.82626645,3.93639645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652648378095,,17394,,1569267652,592470884,"""knife_link""",,-0.637141924793,-0.106546007287,-0.320141067551,-0.692970282818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.262796574111,-2.21233501596,-1.98284143267,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.55953765,10.00296255,7.01876175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652705347126,,17395,,1569267652,647716999,"""knife_link""",,-0.644846920407,-0.123435319488,-0.259202031264,-0.708343474688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.365521956609,-1.01154849058,-2.0072760422,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.77549955,8.90352015,4.97694015,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652742634669,,17396,,1569267652,704489946,"""knife_link""",,-0.606356440846,-0.13796368556,-0.240385467455,-0.745327253727,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.5613215376,0.253815217117,-1.28121907337,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.1177974,6.29234445,4.9278579,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652798821317,,17397,,1569267652,741861104,"""knife_link""",,-0.603334911092,-0.131013831149,-0.23767474656,-0.749888709045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.295957829899,-0.151101169347,0.0749017554386,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.2761385,9.1096656,3.09218175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652855276737,,17398,,1569267652,797940969,"""knife_link""",,-0.62904034352,-0.100849170641,-0.20442506781,-0.743201239676,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.746003733545,-1.57354450973,-0.0333086581854,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.981645,12.5257902,4.89840855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652892873990,,17399,,1569267652,854300975,"""knife_link""",,-0.633563039609,-0.107404375071,-0.137420150449,-0.753775747359,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.180517055897,-1.24018662259,-1.94968017688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.8062268,6.3610596,4.0443774,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267652948554782,,17400,,1569267652,892134904,"""knife_link""",,-0.588145182902,-0.114279792549,-0.115280918346,-0.792297723529,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.91918769565,-0.144119852339,-1.59712366798,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.08962595,6.99912885,3.91676355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653005388059,,17401,,1569267652,947850942,"""knife_link""",,-0.529289690094,-0.118380649012,-0.157862982538,-0.825177389804,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.51601663844,1.27134217103,0.797468065767,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.32394285,5.4579462,6.05674965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653042673148,,17402,,1569267653,4581928,"""knife_link""",,-0.540647148257,-0.120457322737,-0.176713279929,-0.813611154777,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.475477699485,0.531322568185,0.692748310647,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.67733505,8.834805,3.6124536,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653098605320,,17403,,1569267653,41945934,"""knife_link""",,-0.580850355683,-0.12891855977,-0.16402343458,-0.786822204922,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.79152961689,-0.0132201584389,-0.186897632361,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.03072725,7.3819704,5.9291358,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653155168842,,17404,,1569267653,97848892,"""knife_link""",,-0.6419983915,-0.151513578451,-0.177210392166,-0.730395904811,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.9765345176,0.950201588665,0.546140653479,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.2774164,8.3636154,8.03967255,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653192762859,,17405,,1569267653,154319047,"""knife_link""",,-0.685982679956,-0.159460632488,-0.186075117173,-0.685110297876,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.17717372019,0.508633287909,0.579301909267,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,2.4344796,12.5846889,2.552277,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653248761295,,17406,,1569267653,191858053,"""knife_link""",,-0.692046632017,-0.142978671869,-0.17113709551,-0.686542535495,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.285236811017,-1.06739902665,0.108063011227,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.00981645,7.6175652,4.711896,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653305166811,,17407,,1569267653,248115062,"""knife_link""",,-0.670694059902,-0.133556445634,-0.156736892796,-0.712576803073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.12673455385,-0.501912348999,-0.357939899057,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-1.2172398,9.6397539,1.5902649,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653342659359,,17408,,1569267653,304454088,"""knife_link""",,-0.668148719728,-0.131965786895,-0.139679810384,-0.71878499566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.110952929187,-0.364031338091,-0.434734386145,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0588987,8.3636154,2.2577835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653398636294,,17409,,1569267653,341703891,"""knife_link""",,-0.668193367895,-0.149104002026,-0.121184545093,-0.718748861364,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.259056872237,0.128151510973,-1.31961631691,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.8834805,7.41141975,1.89457485,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653455142860,,17410,,1569267653,397990942,"""knife_link""",,-0.768168322423,-0.192932666569,-0.0829620808975,-0.604823699709,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,5.71670144324,0.513869275665,-1.01941968557,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-5.4186804,5.2223514,2.2970493,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653492608657,,17411,,1569267653,454492092,"""knife_link""",,-0.771538269877,-0.242559776558,-0.0452695367509,-0.586382231956,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.960679231541,0.260796534125,-2.11548645582,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-4.01492805,14.02770705,1.63934715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653548713251,,17412,,1569267653,491774082,"""knife_link""",,-0.782265970703,-0.235196625539,-0.0586420372184,-0.573849814747,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.634302661417,0.601135738265,0.846337284823,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.56081555,16.32475635,-1.0209108,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653605730652,,17413,,1569267653,547985076,"""knife_link""",,-0.790935399135,-0.256632146989,-0.039895927697,-0.554048238405,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.910064683233,0.156076779005,-0.902482625681,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.7878718,16.0008135,0.16687965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653642706263,,17414,,1569267653,605000972,"""knife_link""",,-0.779024067033,-0.250023722129,-0.0547890613592,-0.572370334759,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.830028581011,0.232871266093,0.317502521467,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.89585275,10.405437,1.18779045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653698680413,,17415,,1569267653,641725063,"""knife_link""",,-0.781628272126,-0.23913205164,-0.0464869529623,-0.574205598455,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.136883824597,-0.576961506835,0.228490729615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-3.30814365,8.8544379,-0.32394285,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1569267653754872922,,17416,,1569267653,697961091,"""knife_link""",,-0.771418136413,-0.242696479608,-0.0391367377368,-0.586924861765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.505397340139,-0.154591827851,-0.377138520829,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-2.91548565,7.3427046,-1.1190753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
