rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x_1,y_1,z_1,angular_velocity_covariance,linear_acceleration,x_2,y_2,z_2,linear_acceleration_covariance,Label
1.55542457006857e+18,NaN,20824,NaN,1555424570,66937923,NaN,NaN,0.49147107704,-0.513997602077,-0.702728657542,-0.0208585560644,NaN,NaN,0.0882354260773,0.0536603657614,-0.0894649251258,NaN,NaN,-4.2407064,8.86425435,-0.85403115,NaN,2
1.55542457006931e+18,NaN,20825,NaN,1555424570,68094968,NaN,NaN,0.490671616152,-0.514963374949,-0.702623677861,-0.0193404982547,NaN,NaN,0.320364216593,0.0257350977294,-0.00917977953382,NaN,NaN,-3.77933325,8.98205175,-0.2355948,NaN,2
1.55542457060035e+18,NaN,20826,NaN,1555424570,68970918,NaN,NaN,0.489949901315,-0.515665722274,-0.70265262104,-0.0178115473508,NaN,NaN,-0.196253241999,0.0152631222174,-0.0161610965418,NaN,NaN,-4.19162415,9.227463,-0.2552277,NaN,2
1.55542457068372e+18,NaN,20827,NaN,1555424570,599620103,NaN,NaN,0.497104919678,-0.499055977225,-0.70953590991,-0.0197135226698,NaN,NaN,-0.0548815725867,-0.000444841050566,-0.0563036693378,NaN,NaN,-4.07382675,8.834805,-0.75586665,NaN,2
1.55542457085369e+18,NaN,20828,NaN,1555424570,683180093,NaN,NaN,0.495353334618,-0.503244300292,-0.707735965016,-0.0219100873975,NaN,NaN,0.124887340369,-0.0370967553426,-0.0126704380378,NaN,NaN,-4.1818077,9.0703998,0.0392658,NaN,2
1.55542457085457e+18,NaN,20829,NaN,1555424570,853018045,NaN,NaN,0.497569384534,-0.474862326635,-0.725899041619,0.00102941398725,NaN,NaN,-0.484232568579,0.0362070732414,-0.00568912102982,NaN,NaN,-4.01492805,9.0703998,-0.5693541,NaN,2
1.5554245713004e+18,NaN,20830,NaN,1555424570,854146003,NaN,NaN,0.496692151385,-0.475837081722,-0.725858245352,0.00240542390523,NaN,NaN,-0.187526595739,0.0274804269814,0.0187454884982,NaN,NaN,-4.01492805,8.834805,0.26504415,NaN,2
1.55542457138559e+18,NaN,20831,NaN,1555424571,299881935,NaN,NaN,0.489792545261,-0.414753078576,-0.764458676771,0.0607130787174,NaN,NaN,-0.419655386255,0.0152631222174,0.0606333905462,NaN,NaN,-4.01492805,9.08021625,-0.5104554,NaN,2
1.55542457151321e+18,NaN,20832,NaN,1555424571,385006904,NaN,NaN,0.486160332727,-0.414453655604,-0.76664360697,0.0642952419058,NaN,NaN,-0.102005462391,-0.0528047186106,0.0519067442862,NaN,NaN,-3.91676355,9.1489314,0.1570632,NaN,2
1.55542457155535e+18,NaN,20833,NaN,1555424571,512449979,NaN,NaN,0.481115767308,-0.413516358911,-0.769611655116,0.0723169390318,NaN,NaN,-0.117713425659,-0.0301154383346,0.0972853048382,NaN,NaN,-4.23088995,8.53049505,0.02944935,NaN,2
1.55542457210778e+18,NaN,20834,NaN,1555424571,554754018,NaN,NaN,0.479048053851,-0.41203922398,-0.771176956222,0.0776063283149,NaN,NaN,-0.278283716843,0.00304581745343,0.109502609602,NaN,NaN,-3.72043455,9.57103875,0.06871515,NaN,2
1.55542457210835e+18,NaN,20835,NaN,1555424572,107161998,NaN,NaN,0.481814857875,-0.41816712523,-0.76891997761,0.0418660499716,NaN,NaN,0.0795087798173,-0.0440780723506,-0.0981915713858,NaN,NaN,-4.44685185,8.35379895,0,NaN,2
