rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,interval,data1,data2,data3,data4
1569261684928297827,,132764,,1569261684,926558017,"""force_sensor_frame""","""0""",0.0,-19.0,69.0,39.0,74.0
1569261684936865149,,132765,,1569261684,936589956,"""force_sensor_frame""","""0""",0.0,-20.0,72.0,43.0,68.0
1569261684946808077,,132766,,1569261684,946562051,"""force_sensor_frame""","""0""",0.0,-20.0,71.0,39.0,76.0
1569261684956801559,,132767,,1569261684,956549882,"""force_sensor_frame""","""0""",0.0,-20.0,66.0,42.0,76.0
1569261684966789481,,132768,,1569261684,966552019,"""force_sensor_frame""","""0""",0.0,-19.0,76.0,45.0,84.0
1569261684976804905,,132769,,1569261684,976545095,"""force_sensor_frame""","""0""",0.0,-22.0,66.0,37.0,82.0
1569261684986841658,,132770,,1569261684,986529111,"""force_sensor_frame""","""0""",0.0,-25.0,74.0,37.0,84.0
1569261684996772554,,132771,,1569261684,996517896,"""force_sensor_frame""","""0""",0.0,-26.0,72.0,28.0,83.0
1569261685006798367,,132772,,1569261685,6516933,"""force_sensor_frame""","""0""",0.0,-27.0,60.0,34.0,78.0
1569261685016801827,,132773,,1569261685,16506910,"""force_sensor_frame""","""0""",0.0,-21.0,72.0,38.0,83.0
1569261685026732843,,132774,,1569261685,26496887,"""force_sensor_frame""","""0""",0.0,-26.0,77.0,33.0,82.0
1569261685036757825,,132775,,1569261685,36488056,"""force_sensor_frame""","""0""",0.0,-27.0,75.0,41.0,85.0
1569261685046744244,,132776,,1569261685,46488046,"""force_sensor_frame""","""0""",0.0,-27.0,76.0,35.0,86.0
1569261685056686500,,132777,,1569261685,56477069,"""force_sensor_frame""","""0""",0.0,-28.0,73.0,36.0,89.0
1569261685066696364,,132778,,1569261685,66468000,"""force_sensor_frame""","""0""",0.0,-31.0,71.0,30.0,87.0
1569261685076711677,,132779,,1569261685,76483011,"""force_sensor_frame""","""0""",0.0,-24.0,78.0,32.0,93.0
1569261685086747028,,132780,,1569261685,86500883,"""force_sensor_frame""","""0""",0.0,-30.0,82.0,34.0,88.0
1569261685096808307,,132781,,1569261685,96556901,"""force_sensor_frame""","""0""",0.0,-36.0,69.0,30.0,88.0
1569261685107797294,,132782,,1569261685,107534885,"""force_sensor_frame""","""0""",0.0,-27.0,79.0,36.0,88.0
1569261685118783074,,132783,,1569261685,118530035,"""force_sensor_frame""","""0""",0.0,-27.0,79.0,35.0,92.0
1569261685131039414,,132784,,1569261685,129446983,"""force_sensor_frame""","""0""",0.0,-35.0,75.0,27.0,89.0
